OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,BluesCreek,Buck_Bay,Duck_Pond,EastGNV,EastMidtownEastA,Edgemoore,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
309,82601,0.210000000000000,1000,1.000000000000000,GAINESVILLE,171400,1987,100,1000.000000000000000,1963,2022,0,0.000000000000000,50.000000000000000,0.000000000000000,34,0,0,2.000000000000000,785,144905.000000000000000,0.254121970462406,-82.305207999999993,29.667045999999999,10804-025-000,MidtownEast_C,True,False,False,0.660000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.968669308216057,157734.624511790694669,158519.624511790694669,-12880.375488209305331,12829.624511790694669,12880.375488209305331,12829.624511790694669,0.924851951644053
1002,82238,0.230000000000000,1555,1.000000000000000,GAINESVILLE,221500,1995,100,1485.000000000000000,1963,2023,0,0.000000000000000,160.000000000000000,0.000000000000000,27,0,0,2.000000000000000,1396,186879.000000000000000,0.278324062887397,-82.304664000000002,29.673318999999999,10625-058-000,MidtownEast_C,True,False,False,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.303346752473477,220432.488519536243984,221828.488519536243984,328.488519536243984,33553.488519536243984,328.488519536243984,33553.488519536243984,1.001483018146891
1003,82580,0.200000000000000,1402,1.000000000000000,GAINESVILLE,242100,2011,100,1402.000000000000000,1964,2023,0,0.000000000000000,66.000000000000000,0.000000000000000,11,0,0,2.000000000000000,2277,203507.999999999970896,0.242020924249910,-82.303301000000005,29.669633000000001,10804-004-000,MidtownEast_C,True,False,False,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.377686147801050,237443.777424992411397,239720.777424992411397,-2379.222575007588603,33935.777424992440501,2379.222575007588603,33935.777424992440501,0.990172562680679
1004,82604,0.200000000000000,1708,1.000000000000000,GAINESVILLE,198700,1979,100,1436.000000000000000,1963,2023,0,0.000000000000000,499.000000000000000,0.000000000000000,43,0,0,2.000000000000000,537,168358.000000000000000,0.242020924249910,-82.305216000000001,29.667732000000001,10804-028-000,MidtownEast_C,True,False,False,0.570000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.165976328347320,192139.380615341360681,192676.380615341360681,-6023.619384658639319,23781.380615341360681,6023.619384658639319,23781.380615341360681,0.969684854631814
1005,82637,0.180000000000000,1360,1.000000000000000,GAINESVILLE,246900,2012,100,1360.000000000000000,1965,2023,0,0.000000000000000,128.000000000000000,0.000000000000000,10,0,0,1.500000000000000,180,209685.000000000000000,0.217818831824919,-82.303197999999995,29.669186000000000,10804-061-000,MidtownEast_C,True,False,False,0.900000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.345305071377332,229878.243437461002031,230058.243437461002031,-16841.756562538997969,20193.243437461002031,16841.756562538997969,20193.243437461002031,0.931787134214099
1636,82276,0.340000000000000,1600,1.000000000000000,GAINESVILLE,249900,1994,100,1360.000000000000000,1960,2024,0,0.000000000000000,336.000000000000000,0.000000000000000,29,0,0,2.000000000000000,3775,208640.000000000000000,0.411435571224847,-82.303149000000005,29.670089999999998,10625-096-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.333249607752926,227123.592295980168274,230898.592295980168274,-19001.407704019831726,18483.592295980168274,19001.407704019831726,18483.592295980168274,0.923963954765827
1637,82490,0.110000000000000,853,1.000000000000000,GAINESVILLE,160000,2000,100,720.000000000000000,1935,2024,0,0.000000000000000,133.000000000000000,0.000000000000000,23,0,0,2.000000000000000,1224,134776.000000000000000,0.133111508337451,-82.301682000000000,29.668603000000001,10750-001-000,MidtownEast_C,True,False,True,0.770000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,11.948083804253994,154520.770666369702667,155744.770666369702667,-4255.229333630297333,19744.770666369702667,4255.229333630297333,19744.770666369702667,0.973404816664811
1806,82294,0.180000000000000,1140,1.000000000000000,GAINESVILLE,248400,2016,100,1140.000000000000000,1961,2024,0,0.000000000000000,65.000000000000000,0.000000000000000,7,0,0,1.000000000000000,307,210833.000000000000000,0.217818831824919,-82.302008999999998,29.672232999999999,10626-009-000,MidtownEast_C,True,False,False,0.930000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.249254911215601,208825.637249566090759,209132.637249566090759,-39267.362750433909241,-2007.362750433909241,39267.362750433909241,2007.362750433909241,0.841918829507110
1807,82628,0.230000000000000,1808,1.000000000000000,GAINESVILLE,275400,1994,100,1808.000000000000000,1964,2024,0,0.000000000000000,42.000000000000000,558.000000000000000,29,0,0,2.000000000000000,10217,223873.000000000000000,0.278324062887397,-82.304398000000006,29.668202999999998,10804-052-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.455221210195509,256586.523473472276237,266803.523473472276237,-8596.476526527723763,32713.523473472276237,8596.476526527723763,32713.523473472276237,0.968785488284213
1850,82280,0.250000000000000,1554,1.000000000000000,GAINESVILLE,271100,2002,100,1000.000000000000000,1963,2022,0,0.000000000000000,614.000000000000000,0.000000000000000,19,0,0,2.000000000000000,1696,228739.000000000000000,0.302526155312388,-82.302825999999996,29.671036999999998,10625-100-000,MidtownEast_C,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.393662883891361,241267.820514638820896,242963.820514638820896,-28136.179485361179104,12528.820514638820896,28136.179485361179104,12528.820514638820896,0.896214756601397
1874,82257,0.230000000000000,1008,1.000000000000000,GAINESVILLE,148400,1978,100,1008.000000000000000,1963,2023,0,0.000000000000000,60.000000000000000,0.000000000000000,44,0,0,1.500000000000000,538,125601.999999999985448,0.278324062887397,-82.305555999999996,29.671219000000001,10625-077-000,MidtownEast_C,True,False,False,0.560000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.840260728844175,138726.649956418375950,139264.649956418375950,-9135.350043581624050,13124.649956418390502,9135.350043581624050,13124.649956418390502,0.938441037442172
2130,82648,0.410000000000000,1286,1.000000000000000,GAINESVILLE,186200,1994,100,1044.000000000000000,1964,2024,0,0.000000000000000,320.000000000000000,0.000000000000000,29,0,0,1.500000000000000,10935,147335.000000000000000,0.496142894712316,-82.302535000000006,29.668316999999998,10804-072-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.207212192552698,200228.039310586435022,211163.039310586435022,24963.039310586435022,52893.039310586435022,24963.039310586435022,52893.039310586435022,1.134065732065448
2816,82285,0.260000000000000,1540,1.000000000000000,GAINESVILLE,177300,1979,100,1000.000000000000000,1963,2023,0,0.000000000000000,540.000000000000000,0.000000000000000,43,0,0,2.000000000000000,601,150104.000000000000000,0.314627201524883,-82.302857000000003,29.672218999999998,10625-105-000,MidtownEast_C,True,False,False,0.570000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.129323874739415,185224.498680798715213,185825.498680798715213,8525.498680798715213,35120.498680798715213,8525.498680798715213,35120.498680798715213,1.048085158944155
2877,82266,0.230000000000000,1008,1.000000000000000,GAINESVILLE,172200,1995,100,1008.000000000000000,1963,2023,0,0.000000000000000,60.000000000000000,0.000000000000000,27,0,0,1.500000000000000,443,145927.000000000000000,0.278324062887397,-82.305563000000006,29.673321000000001,10625-086-000,MidtownEast_C,True,False,False,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.037744915637614,169015.366471338667907,169458.366471338667907,-2741.633528661332093,23088.366471338667907,2741.633528661332093,23088.366471338667907,0.984078783224963
2908,82189,0.230000000000000,1210,1.000000000000000,GAINESVILLE,242800,2015,100,1210.000000000000000,1961,2024,0,0.000000000000000,672.000000000000000,0.000000000000000,8,0,0,2.000000000000000,220,206159.999999999970896,0.278324062887397,-82.303392000000002,29.672381000000001,10625-009-000,MidtownEast_C,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.342520754443299,229239.079781509877648,229459.079781509877648,-13340.920218490122352,23079.079781509906752,13340.920218490122352,23079.079781509906752,0.945053870599299
3293,82215,0.230000000000000,1753,1.000000000000000,GAINESVILLE,202800,1983,100,1544.000000000000000,1963,2023,0,0.000000000000000,314.000000000000000,0.000000000000000,39,0,0,2.000000000000000,281,172099.000000000000000,0.278324062887397,-82.304292000000004,29.672850000000000,10625-035-000,MidtownEast_C,True,False,False,0.610000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.239849711853120,206870.797736947220983,207151.797736947220983,4351.797736947220983,34771.797736947220983,4351.797736947220983,34771.797736947220983,1.021458568722619
3309,82476,0.120000000000000,960,1.000000000000000,GAINESVILLE,155200,2018,100,816.000000000000000,1940,2024,0,0.000000000000000,208.000000000000000,0.000000000000000,5,0,0,1.000000000000000,352,131568.000000000000000,0.145212554549946,-82.300888000000000,29.669371999999999,10740-000-000,MidtownEast_C,True,False,True,0.950000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,12.142563178047141,187693.046870984311681,188045.046870984311681,32845.046870984311681,56125.046870984311681,32845.046870984311681,56125.046870984311681,1.211630456642940
3368,82277,0.470000000000000,1000,1.000000000000000,GAINESVILLE,139700,1994,100,1000.000000000000000,1963,2024,0,0.000000000000000,96.000000000000000,0.000000000000000,29,0,0,2.000000000000000,4410,114335.000000000000000,0.568749171987289,-82.302822000000006,29.670235999999999,10625-097-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.090165590455062,178111.598459327215096,182521.598459327215096,42821.598459327215096,63776.598459327215096,42821.598459327215096,63776.598459327215096,1.306525400567840
3442,82605,0.200000000000000,1150,1.000000000000000,GAINESVILLE,195500,1987,100,1150.000000000000000,1963,2022,0,0.000000000000000,96.000000000000000,0.000000000000000,34,0,0,2.000000000000000,1537,164638.000000000000000,0.242020924249910,-82.305217999999996,29.667952000000000,10804-029-000,MidtownEast_C,True,False,False,0.660000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.046063736689634,170427.239477378927404,171964.239477378927404,-23535.760522621072596,5789.239477378927404,23535.760522621072596,5789.239477378927404,0.879612478145161
3980,82227,0.230000000000000,1249,1.000000000000000,GAINESVILLE,219400,2000,100,1249.000000000000000,1960,2022,0,0.000000000000000,24.000000000000000,0.000000000000000,21,0,0,1.000000000000000,1598,184892.000000000000000,0.278324062887397,-82.304655999999994,29.670748000000000,10625-047-000,MidtownEast_C,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.193426105521572,197486.618287518940633,199084.618287518940633,-20315.381712481059367,12594.618287518940633,20315.381712481059367,12594.618287518940633,0.907404823552958
4287,82643,0.180000000000000,1064,1.000000000000000,GAINESVILLE,151900,1982,100,1064.000000000000000,1965,2022,0,0.000000000000000,111.000000000000000,0.000000000000000,39,0,0,2.000000000000000,160,128955.000000000000000,0.217818831824919,-82.303431000000003,29.668901000000002,10804-067-000,MidtownEast_C,True,False,False,0.610000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.936288249504347,152708.819946757197613,152868.819946757197613,968.819946757197613,23753.819946757197613,968.819946757197613,23753.819946757197613,1.006378011499389
4304,82268,0.250000000000000,1412,1.000000000000000,GAINESVILLE,243700,2010,100,1412.000000000000000,1960,2023,0,0.000000000000000,76.000000000000000,242.000000000000000,12,0,0,2.000000000000000,740,206405.000000000000000,0.302526155312388,-82.305577999999997,29.670096000000001,10625-088-000,MidtownEast_C,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.473969446084174,261442.445895164768444,262182.445895164739341,18482.445895164739341,55037.445895164768444,18482.445895164739341,55037.445895164768444,1.075840976180405
4597,82329,0.170000000000000,1131,1.000000000000000,GAINESVILLE,217600,1994,100,851.000000000000000,1961,2024,0,0.000000000000000,280.000000000000000,0.000000000000000,29,0,0,1.000000000000000,2596,182364.000000000000000,0.205717785612424,-82.302314999999993,29.670604999999998,10626-044-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.046348879766839,170475.842553969152505,173071.842553969152505,-44528.157446030847495,-11888.157446030847495,44528.157446030847495,11888.157446030847495,0.795366923501696
4598,82534,0.110000000000000,840,1.000000000000000,GAINESVILLE,171600,2012,100,840.000000000000000,1953,2024,0,0.000000000000000,0.000000000000000,0.000000000000000,11,0,0,1.000000000000000,0,145860.000000000000000,0.133111508337451,-82.302740999999997,29.667190000000002,10765-014-000,MidtownEast_C,True,False,True,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,11.986151386941042,160516.398382567276713,160516.398382567276713,-11083.601617432723287,14656.398382567276713,11083.601617432723287,14656.398382567276713,0.935410246984658
5090,82269,0.230000000000000,1840,1.000000000000000,GAINESVILLE,282500,2001,100,1840.000000000000000,1960,2024,0,0.000000000000000,95.000000000000000,0.000000000000000,22,0,0,2.000000000000000,9356,230769.000000000000000,0.278324062887397,-82.305269999999993,29.670099000000000,10625-089-000,MidtownEast_C,True,False,False,0.780000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.444198804747781,253773.852456191118108,263129.852456191089004,-19370.147543808910996,23004.852456191118108,19370.147543808910996,23004.852456191118108,0.931433106039614
5153,82645,0.180000000000000,1348,1.000000000000000,GAINESVILLE,230400,2000,100,1161.000000000000000,1964,2022,0,0.000000000000000,265.000000000000000,0.000000000000000,21,0,0,2.000000000000000,1964,193876.000000000000000,0.217818831824919,-82.302959000000001,29.668904999999999,10804-069-000,MidtownEast_C,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.265373223871698,212218.826945332577452,214182.826945332577452,-16217.173054667422548,18342.826945332577452,16217.173054667422548,18342.826945332577452,0.929612964172450
5261,82665,0.390000000000000,1025,1.000000000000000,GAINESVILLE,245000,2010,100,1025.000000000000000,1963,2024,0,0.000000000000000,80.000000000000000,0.000000000000000,13,0,0,2.000000000000000,2657,205593.000000000000000,0.471940802287325,-82.303229000000002,29.667424000000000,10804-089-000,MidtownEast_C,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.239658871456017,206831.322198641631985,209488.322198641631985,-35511.677801358368015,1238.322198641631985,35511.677801358368015,1238.322198641631985,0.855054376320986
5634,82237,0.230000000000000,1484,1.000000000000000,GAINESVILLE,168800,1980,100,1484.000000000000000,1962,2023,0,0.000000000000000,265.000000000000000,0.000000000000000,42,0,0,2.000000000000000,1388,142091.999999999970896,0.278324062887397,-82.304663000000005,29.673085000000000,10625-057-000,MidtownEast_C,True,False,False,0.580000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.108356653108135,181381.287096377520356,182769.287096377520356,13969.287096377520356,39289.287096377549460,13969.287096377520356,39289.287096377549460,1.082756440144417
5737,82255,0.230000000000000,1250,1.000000000000000,GAINESVILLE,180300,1992,100,1250.000000000000000,1963,2022,0,0.000000000000000,50.000000000000000,0.000000000000000,29,0,0,2.000000000000000,2198,151057.000000000000000,0.278324062887397,-82.305554999999998,29.670750999999999,10625-075-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.154986276194872,190039.319827915780479,192237.319827915780479,11937.319827915780479,38982.319827915780479,11937.319827915780479,38982.319827915780479,1.066208096660653
5738,82635,0.180000000000000,1105,1.000000000000000,GAINESVILLE,140600,1982,100,1105.000000000000000,1964,2022,0,0.000000000000000,96.000000000000000,0.000000000000000,39,0,0,2.000000000000000,1978,117532.000000000014552,0.217818831824919,-82.302726000000007,29.669190000000000,10804-059-000,MidtownEast_C,True,False,False,0.610000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.956710119388273,155859.481297336868010,157837.481297336868010,17237.481297336868010,38327.481297336853459,17237.481297336868010,38327.481297336853459,1.122599440237104
6731,82320,0.170000000000000,915,1.000000000000000,GAINESVILLE,175200,2005,100,780.000000000000000,1961,2023,0,0.000000000000000,159.000000000000000,0.000000000000000,17,0,0,1.000000000000000,2494,146426.000000000000000,0.205717785612424,-82.301666999999995,29.669912000000000,10626-035-000,MidtownEast_C,True,False,True,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.041470288783838,169646.186068519979017,172140.186068519979017,-3059.813931480020983,23220.186068519979017,3059.813931480020983,23220.186068519979017,0.982535308610274
6733,82519,0.230000000000000,1120,1.000000000000000,GAINESVILLE,181300,2004,100,1120.000000000000000,1958,2023,0,0.000000000000000,40.000000000000000,0.000000000000000,18,0,0,1.000000000000000,5303,148802.000000000000000,0.278324062887397,-82.300763000000003,29.669556000000000,10760-015-000,MidtownEast_C,True,False,False,0.820000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,12.162703734734764,191511.614277946675429,196814.614277946675429,15514.614277946675429,42709.614277946675429,15514.614277946675429,42709.614277946675429,1.085574265184482
6734,82608,0.200000000000000,1032,1.000000000000000,GAINESVILLE,141700,1978,100,1032.000000000000000,1964,2023,0,0.000000000000000,120.000000000000000,0.000000000000000,44,0,0,2.000000000000000,1110,119335.000000000000000,0.242020924249910,-82.305227000000002,29.668841000000000,10804-032-000,MidtownEast_C,True,False,False,0.560000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.864257985286802,142095.974534767301520,143205.974534767301520,1505.974534767301520,22760.974534767301520,1505.974534767301520,22760.974534767301520,1.010627907796523
6735,82617,0.190000000000000,1175,1.000000000000000,GAINESVILLE,204000,2005,100,1175.000000000000000,1963,2023,0,0.000000000000000,132.000000000000000,0.000000000000000,17,0,0,2.000000000000000,1442,171958.000000000000000,0.229919878037415,-82.304723999999993,29.667736999999999,10804-041-000,MidtownEast_C,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.226289663909178,204084.553298752725823,205526.553298752725823,1526.553298752725823,32126.553298752725823,1526.553298752725823,32126.553298752725823,1.007483104405651
