OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,HSBUI,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Springtree_C,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
7381,107167,0.255600000000000,2857,1.000000000000000,ST. JOHN'S,680700,12215,2018,100,2305.000000000000000,552.000000000000000,282.000000000000000,673.000000000000000,6,566380.000000000000000,0.330961006437663,-82.441384999999997,29.593902000000000,07071-100-001,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.023655610239446,453003.717230998037849,465218.717230998037849,-215481.282769001962151,-113376.282769001962151,215481.282769001962151,113376.282769001962151,0.683441629544584
7382,107187,0.126300000000000,1559,1.000000000000000,ST. JOHN'S,405000,215,2018,100,1559.000000000000000,0.000000000000000,237.000000000000000,400.000000000000000,6,344035.000000000000000,0.163538243791380,-82.443122000000002,29.592452000000002,07071-100-021,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.591566336978833,294068.007317881565541,294283.007317881565541,-110716.992682118434459,-49966.992682118434459,110716.992682118434459,49966.992682118434459,0.726624709426868
7383,107188,0.192100000000000,1767,1.000000000000000,ST. JOHN'S,445800,1206,2017,100,1767.000000000000000,0.000000000000000,36.000000000000000,484.000000000000000,7,377724.000000000000000,0.248738690675568,-82.442920000000001,29.592448000000001,07071-100-022,HighSprings_B,True,False,False,0.930000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.680400499275702,321386.747983847279102,322592.747983847279102,-123207.252016152720898,-56337.252016152720898,123207.252016152720898,56337.252016152720898,0.723626621767266
7384,107190,0.124000000000000,1610,1.000000000000000,ST. JOHN'S,414700,215,2018,100,1610.000000000000000,0.000000000000000,156.000000000000000,380.000000000000000,6,352280.000000000000000,0.160560112669289,-82.443325000000002,29.592991999999999,07071-100-024,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.605244294128184,298117.890847977949306,298332.890847977949306,-116367.109152022050694,-54162.109152022050694,116367.109152022050694,54162.109152022050694,0.719394479980656
7385,107195,0.124000000000000,1614,1.000000000000000,ST. JOHN'S,397100,1206,2017,100,1614.000000000000000,0.000000000000000,186.000000000000000,400.000000000000000,7,336329.000000000000000,0.160560112669289,-82.442982000000001,29.593267000000001,07071-100-029,HighSprings_B,True,False,False,0.930000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.596275298898169,295456.027869129087776,296662.027869129087776,-100437.972130870912224,-40872.972130870912224,100437.972130870912224,40872.972130870912224,0.747071336865095
7386,107200,0.164100000000000,1966,1.000000000000000,ST. JOHN'S,460200,1415,2018,100,1966.000000000000000,0.000000000000000,368.000000000000000,420.000000000000000,6,389755.000000000000000,0.212483181363147,-82.442447000000001,29.592843999999999,07071-100-034,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.755714214712293,346526.375579022336751,347941.375579022336751,-112258.624420977663249,-43228.624420977663249,112258.624420977663249,43228.624420977663249,0.756065570575885
7387,107201,0.164100000000000,1966,1.000000000000000,ST. JOHN'S,437100,269,2018,100,1966.000000000000000,0.000000000000000,368.000000000000000,420.000000000000000,6,371266.000000000000000,0.212483181363147,-82.442447000000001,29.593024000000000,07071-100-035,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.755714214712293,346526.375579022336751,346795.375579022336751,-90304.624420977663249,-24739.624420977663249,90304.624420977663249,24739.624420977663249,0.793400538959099
7388,107204,0.174600000000000,1809,1.000000000000000,ST. JOHN'S,462800,2762,2018,100,1809.000000000000000,0.000000000000000,334.000000000000000,440.000000000000000,6,390618.000000000000000,0.226078997355305,-82.442169000000007,29.593245000000000,07071-100-038,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.711850671890858,331655.040102504659444,334417.040102504659444,-128382.959897495340556,-58962.959897495340556,128382.959897495340556,58962.959897495340556,0.722595160117771
7428,300081,0.100000000000000,1555,1.000000000000000,ST. JOHN'S,375500,246,2020,100,1555.000000000000000,0.000000000000000,162.000000000000000,400.000000000000000,4,318929.000000000000000,0.129483961830072,-82.442881000000000,29.592009000000001,07071-100-053,HighSprings_B,True,False,False,0.960000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.592582977333484,294367.120740758313332,294613.120740758313332,-80886.879259241686668,-24561.879259241686668,80886.879259241686668,24561.879259241686668,0.784588870148491
7429,300096,0.100000000000000,1555,1.000000000000000,ST. JOHN'S,369500,246,2020,100,1555.000000000000000,0.000000000000000,162.000000000000000,400.000000000000000,4,313829.000000000000000,0.129483961830072,-82.442576000000003,29.591557999999999,07071-100-068,HighSprings_B,True,False,False,0.960000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.592582977333484,294367.120740758313332,294613.120740758313332,-74886.879259241686668,-19461.879259241686668,74886.879259241686668,19461.879259241686668,0.797329149501376
7430,300097,0.100000000000000,1728,1.000000000000000,ST. JOHN'S,416200,246,2020,100,1728.000000000000000,0.000000000000000,176.000000000000000,462.000000000000000,4,353524.000000000000000,0.129483961830072,-82.442677000000003,29.591504000000000,07071-100-069,HighSprings_B,True,False,False,0.960000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.658844090322221,314532.940945278794970,314778.940945278794970,-101421.059054721205030,-38991.059054721205030,101421.059054721205030,38991.059054721205030,0.756316532785389
7431,300110,0.100000000000000,1555,1.000000000000000,ST. JOHN'S,333300,451,2021,100,1555.000000000000000,0.000000000000000,162.000000000000000,400.000000000000000,3,282854.000000000000000,0.129483961830072,-82.442453999999998,29.591176999999998,07071-100-082,HighSprings_B,True,False,False,0.970000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.604886565014773,298011.264472009555902,298462.264472009555902,-34837.735527990444098,15157.264472009555902,34837.735527990444098,15157.264472009555902,0.895476341050134
7432,300112,0.100000000000000,1487,1.000000000000000,ST. JOHN'S,372800,246,2020,100,1487.000000000000000,0.000000000000000,80.000000000000000,483.000000000000000,4,316634.000000000000000,0.129483961830072,-82.442250999999999,29.591284999999999,07071-100-084,HighSprings_B,True,False,False,0.960000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.565209828350982,286418.649337628798094,286664.649337628798094,-86135.350662371201906,-30215.350662371201906,86135.350662371201906,30215.350662371201906,0.768950239639562
7433,300117,0.210000000000000,1966,1.000000000000000,ST. JOHN'S,519100,246,2020,100,1966.000000000000000,0.000000000000000,368.000000000000000,420.000000000000000,4,440989.000000000000000,0.271916319843150,-82.441506000000004,29.591235000000001,07071-100-089,HighSprings_B,True,False,False,0.960000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.801720137459267,362841.049599811434746,363087.049599811434746,-156012.950400188565254,-78147.950400188565254,156012.950400188565254,78147.950400188565254,0.699454921209423
7492,503838,0.152300000000000,1772,1.000000000000000,ST. JOHN'S,427900,0,2022,100,1772.000000000000000,0.000000000000000,282.000000000000000,392.000000000000000,2,363715.000000000000000,0.197204073867199,-82.444558999999998,29.591132999999999,07071-100-105,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.733852287145726,339032.850957100221422,339032.850957100221422,-88867.149042899778578,-24682.149042899778578,88867.149042899778578,24682.149042899778578,0.792317950355457
7493,503852,0.152300000000000,1713,1.000000000000000,ST. JOHN'S,476200,10002,2022,100,3426.000000000000000,0.000000000000000,496.000000000000000,784.000000000000000,2,394768.000000000000000,0.197204073867199,-82.444027000000006,29.590361999999999,07071-100-119,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.732018508204048,338411.709346741961781,348413.709346741961781,-127786.290653258038219,-56356.290653258038219,127786.290653258038219,56356.290653258038219,0.731654156545027
7494,503865,0.141900000000000,1713,1.000000000000000,ST. JOHN'S,424700,490,2022,100,1713.000000000000000,0.000000000000000,265.000000000000000,411.000000000000000,2,360505.000000000000000,0.183737741836872,-82.445674999999994,29.589514000000001,07071-100-132,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.708270333493182,330469.726006622426212,330959.726006622426212,-93740.273993377573788,-30035.273993377573788,93740.273993377573788,30035.273993377573788,0.779278846260001
7495,503866,0.141900000000000,1772,1.000000000000000,ST. JOHN'S,445000,631,2022,100,1772.000000000000000,0.000000000000000,262.000000000000000,392.000000000000000,2,377619.000000000000000,0.183737741836872,-82.445894999999993,29.589842999999998,07071-100-133,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.727330866986728,336829.068992736923974,337460.068992736923974,-107539.931007263076026,-40789.931007263076026,107539.931007263076026,40789.931007263076026,0.758337233691544
7496,503890,0.104600000000000,1583,1.000000000000000,ST. JOHN'S,414000,0,2022,100,1583.000000000000000,0.000000000000000,177.000000000000000,420.000000000000000,2,351900.000000000000000,0.135440224074255,-82.446073999999996,29.590360000000000,07071-100-157,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.633116079991439,306543.846622484561522,306543.846622484561522,-107456.153377515438478,-45356.153377515438478,107456.153377515438478,45356.153377515438478,0.740444073967354
7497,503891,0.141900000000000,1772,1.000000000000000,ST. JOHN'S,471200,547,2022,100,1772.000000000000000,0.000000000000000,278.000000000000000,392.000000000000000,2,399973.000000000000000,0.183737741836872,-82.446197999999995,29.590299999999999,07071-100-158,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.727730736985446,336963.783764526073355,337510.783764526073355,-133689.216235473926645,-63009.216235473926645,133689.216235473926645,63009.216235473926645,0.716279252471405
7498,503893,0.164200000000000,1966,1.000000000000000,ST. JOHN'S,463800,0,2022,100,1966.000000000000000,0.000000000000000,392.000000000000000,420.000000000000000,2,394230.000000000000000,0.212612665324978,-82.441478000000004,29.590893000000001,07071-100-159,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.805670151720930,364277.111285324499477,364277.111285324499477,-99522.888714675500523,-29952.888714675500523,99522.888714675500523,29952.888714675500523,0.785418523685478
7499,503894,0.170500000000000,1789,1.000000000000000,ST. JOHN'S,423300,569,2022,100,1789.000000000000000,0.000000000000000,185.000000000000000,420.000000000000000,2,359236.000000000000000,0.220770154920272,-82.441479999999999,29.590750000000000,07071-100-160,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.747741418093531,343774.575610844476614,344343.575610844476614,-78956.424389155523386,-15461.424389155523386,78956.424389155523386,15461.424389155523386,0.813474074204688
7500,503897,0.145200000000000,1777,1.000000000000000,ST. JOHN'S,467800,408,2022,100,1777.000000000000000,0.000000000000000,185.000000000000000,420.000000000000000,2,397222.000000000000000,0.188010712577264,-82.441481999999993,29.590305000000001,07071-100-163,HighSprings_B,True,False,False,0.980000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.730058648234937,337749.119288467452861,338157.119288467452861,-129642.880711532547139,-59472.880711532547139,129642.880711532547139,59472.880711532547139,0.722866864661110
